label,title,x,y,size
8,3-D Man,-0.2365015234253739,0.5302850880357122,12
0,Absorbing Man,-0.13837782024635792,0.2697174889580698,68
2,Abyss,-0.014586866362842876,-0.6539009136291546,8
0,Adam Warlock,-0.21265760505496448,0.10246906029272353,136
3,Agents of Atlas,-0.39445114208486715,0.499753719579316,32
5,Alicia Masters,0.3841391467512908,-0.02997891251014487,41
7,Alpha Flight,0.1264474802900657,-0.0739006384457646,193
0,Amadeus Cho,-0.07724319601043812,0.23163664594198752,89
2,Amiko,0.06311422945563128,-0.690056609357307,12
8,Ancient One,0.41136012021835344,0.11987766338746358,25
8,Annihilus,0.17407534724295232,0.10800939239233133,51
2,Apocalypse,-0.04004187238314753,-0.2918218602467126,94
4,Arachne,0.5189590172722357,0.529153206020754,6
2,Arcade,0.02438242222845701,-0.49025695609026776,29
8,Archangel,-0.09780362949365544,-0.010399319675102775,559
2,Arclight,-0.014586866362572844,-0.653900913629151,14
3,Ares,-0.14946846053764315,0.37685316680438846,55
3,Armory,-0.5285805123918753,0.4454754696005774,2
7,Arnim Zola,-0.5711194096334886,0.07046035516765518,22
6,Aurora,0.09838488445371092,-0.45275669546311276,67
2,Avalanche,-0.16815265753947353,-0.41449383150657987,40
4,Avengers,0.1470877779824179,0.4267485650711374,1456
2,Banshee,0.03754016780896282,-0.4066809638879726,177
8,Baron Strucker,0.19379604505582523,-0.18167187285322664,41
1,Baroness S'Bak,-0.885724011256707,-0.14236553743267158,1
2,Bastion,-0.05286704859322592,-0.5657717190401231,34
2,Beast,-0.12422454001457334,-0.22273861163497827,776
5,Ben Grimm,0.37126524325674953,0.035062430400387,35
4,Ben Urich,0.33957964544283487,0.4157905568753135,38
0,Beta-Ray Bill,0.02831878708726659,0.1633244474820777,32
4,Betty Brant,0.4355349283089159,0.5047439045832599,23
9,Beyonder,-0.563322524663884,0.2595390701860024,5
6,Bishop,-0.006682907871803311,-0.37670184572969617,269
6,Black Bolt,-0.3400563424988702,0.045349065406483084,139
4,Black Cat,0.3747564347948287,0.32764122541074114,130
3,Black Panther,-0.16923669022609508,0.4135819812877823,524
4,Black Tarantula,0.48846010842331516,0.4254958328018442,20
2,Black Tom,0.048513142897383295,-0.6359100837312047,13
3,Black Widow,-0.1955530347178752,0.3932144807596196,447
8,Blade,0.30620413214547254,0.14752128915140855,51
6,Blastaar,0.0621722146557565,-0.17203416386475262,31
2,Blink,-0.03968664438797255,-0.4505661199526514,50
2,Blob,0.1766798498370324,-0.3728284749562949,75
2,Blockbuster,0.10009775220768902,-0.5794100191295883,12
8,Blue Marvel,0.0675673315059061,0.1675167086000951,24
9,"Bob, Agent of Hydra",-0.7255562901512291,-0.12024431355685686,7
9,Boom Boom,0.26672613953822905,-0.4018604278531187,55
2,Boomer,0.0012425973703226432,-0.5699443051005455,57
4,Boomerang,0.3174288438673352,0.33721239550073057,23
2,Brood,-0.04947170950615372,-0.5319903108135225,40
9,Brother Voodoo,-0.40965445437482073,0.1939805439185762,5
8,Brute,0.38343090368775223,0.009744551407409064,9
1,Bug,0.6602887669850099,-0.4695936443101787,3
5,Bullseye,0.3275255240785299,0.11662692820766501,91
9,Bushwacker,0.0679747947629194,0.46112499442847515,11
5,Cable,0.18281667070172958,0.036293174529324616,355
2,Caliban,0.011812220715942555,-0.5606993911025685,70
2,Callisto,0.007805194459365248,-0.6316400076424373,33
4,Calypso,0.6267906210395388,0.45627376449268764,6
0,Cammi,-0.36118858838014356,0.40227358397876317,4
8,Cannonball,-0.3440727098675558,0.006503584468869276,271
4,Captain America,0.31283497535971855,0.4221713371915233,2056
0,Captain Britain,-0.13947330223203944,0.005098299425066684,134
4,Captain Universe,0.30160957522211745,0.44087369188491476,20
1,Caretaker,0.7844096615460074,-0.39007812794203445,4
4,Carlie Cooper,0.4981540270015566,0.485777794085439,69
2,Carmella Unuscione,0.0043240974755592,-0.66068577656765,11
4,Carnage,0.4435347655436584,0.3587348272279776,62
6,Carol Danvers,-0.20127200930474196,-0.11523415859139303,15
2,Cecilia Reyes,-0.0473746770249062,-0.558556773285156,22
6,Celestials,-0.20246099788644786,-0.4001344010073096,15
2,Cerebro,0.027944457803973602,-0.5560912107356571,7
2,Ch'od,0.009997441291422141,-0.458715431379361,39
6,Chamber,-0.17029955360933535,-0.5743167102406799,42
4,Chameleon,0.4451346474443289,0.3736197852282786,38
